sv	Jag glömde att ta med mig min läxa till skolan.	en	I forgot to bring my homework to school.	läxa
sv	Jimmy insisterade på att jag skulle ta honom till zoot.	en	Jimmy insisted on my taking him to the zoo.	insistera
sv	Förlåt, jag hade inte med det att göra.	en	Sorry, that was none of my business.	förlåt
sv	Jag skulle vilja be om en översättare.	en	I would like to ask for a translator.	översättare
sv	Jag skulle vilja ha en biff.	en	I'll take a steak.	biff
sv	Jag skulle vilja ha en gaffel.	en	I'd like a fork.	gaffel
sv	Och till råga på allt fick jag sparken.	en	And on top of it all, I was fired.	spark
sv	Vill du att jag ska massera dig?	en	Do you want me to give you a massage?	massera
sv	Visste du att jag skulle få sparken?	en	Did you know I was going to be fired?	spark
sv	Jag vill inte att du blir upprörd.	en	I don't want you getting upset.	uppröra
sv	Jag har en gås oplockad med dig.	en	I have a bone to pick with you.	gås
sv	När jag blir stor vill jag bli brandman.	en	When I grow up, I want to be a firefighter.	brandman
sv	Det går inte att förväxla honom med hans lillebror.	en	You can't mistake him for his younger brother.	förväxla
sv	Han har inte en hatt på sig.	en	He is not wearing a hat.	hatt
sv	Jag vill ha ett äpple.	en	I want an apple.	äpple
sv	Jag har det på tungan.	en	I have it in the tip of my tounge.	tunga
sv	Jag vill ha en glass.	en	I want an ice cream.	glass
sv	Jag förmodar att han kommer.	en	I suppose he'll come.	förmoda
sv	Kan jag få en puss?	en	How about a kiss?	puss
sv	Kan jag få en puss?	en	Can I have a kiss?	puss
sv	Jag fick ett F i kemi.	en	I got an F in chemistry.	kemi
sv	Jag vill ha en tårta.	en	I want a cake.	tårta
sv	Kan jag få en kudde?	en	Can I get a pillow?	kudde
sv	Kan jag få ett kvitto?	en	Can I get a receipt?	kvitto
sv	Han fick sladd i en rondell och voltade.	en	His car lost control in a roundabout and flipped.	rondell
sv	Jag har fått en frist.	en	I have gotten a respite.	frist
sv	Jag har pyjamasen på mig.	en	I'm in my pajamas.	pyjamas
sv	Jag ska ta körkort när jag blir arton.	en	I will get a driver's license when I reach eighteen.	körkort
sv	Jag måste ta ett paraply med mig.	en	I've got to take an umbrella with me.	paraply
sv	Sa du till honom att du skojade?	en	Did you tell him you were joking?	skoja
sv	Du måste skörda det du har sått.	en	You must reap what you have sown.	skörda
sv	Jag skulle vilja gå på bio.	en	I'd like to go to the movies.	bio
sv	Vill du ha ett äpple?	en	Do you want an apple?	äpple
sv	Du skulle kunna bli smittad.	en	You could get infected.	smitta
sv	Jag har sex med dig.	en	I'm having sex with you.	sex
sv	Vill du ha en tugga?	en	Do you want a bite?	tugga
sv	Jag skulle kunna kyssa dig.	en	I could kiss you.	kyssa
sv	Kan du ge mig en filt?	en	Could you bring me a blanket?	filt
sv	Jag beter mig inte som du.	en	I don't act like you.	bete
sv	Gör dig av med pistolen.	en	Get rid of the gun.	pistol
sv	Jag har inte tid att göra mina läxor.	en	I have no time to do my homework.	läxa
sv	Jag kan inte finna min flickväns klitoris.	en	I can't find my girlfriend's clitoris.	flickvän
sv	Hur ska jag någonsin kunna återgälda min mor?	en	How can I ever repay my mother?	återgälda
sv	Jag förklarade det för honom, bara för att förvirra honom.	en	I explained it to him, only to make him confused.	förvirra
sv	Jag tycker om gräslök i soppan, men inte i salladen.	en	I like chives in my soup, but not in my salad.	sallad
sv	Det gör ont i knät när jag böjer på det.	en	My knee hurts when I bend it.	böja
sv	Byxorna är för små, jag får inte på mig dem.	en	The pants are too small, I can't get them on.	byxa
sv	Jag vill ha två korv med bröd med mycket peppar.	en	I want two hot dogs with lots of pepper.	korv
sv	Jag skulle vilja växla pengar.	en	I would like to change money.	växla
sv	Jag har en illaluktande flickvän.	en	I have a smelly girlfriend.	flickvän
sv	Vi bryr oss inte ett jävla dugg.	en	We don't give a fuck.	dugg
sv	Han har inte hatt på sig.	en	He does not wear a hat.	hatt
sv	Jag kan inte böja min högerarm.	en	I can't bend my right arm.	böja
sv	Han fick inte av sig byxorna.	en	He couldn't get his trousers off.	byxa
sv	Han har på sig glasögon.	en	He wears glasses.	glasögon
sv	Jag har inte ett öre.	en	I don't have a cent.	öre
sv	Vi ska slutföra den.	en	We will finish it.	slutföra
sv	Jag ska ta den jäveln.	en	I am going to get that sucker.	jävel
sv	Jag vill ha glass.	en	I want ice cream.	glass
sv	Det kom så plötsligt.	en	It came so suddenly.	plötslig
sv	Jag hade en blixtrande huvudvärk.	en	I had a splitting headache.	huvudvärk
sv	Emily kommer att överraska mig.	en	Emily will surprise me.	överraska
sv	Vi singlar slant om det.	en	Let's decide by coin toss.	slant
sv	Kobe Steel erkände att de hade förfalskat kvalitetsdata i åratal.	en	Kobe Steel admitted that it had falsified quality data for years.	åratal
