sv	Jag skulle vilja ha en gaffel.	de	Ich hätte gerne eine Gabel.	gaffel
sv	Och till råga på allt fick jag sparken.	de	Und zu allem Überfluss wurde ich gefeuert.	spark
sv	Mannen rånade honom på alla hans pengar.	de	Der Mann raubte ihm sein ganzes Geld.	råna
sv	Vill du att jag ska massera dig?	de	Möchten Sie, dass ich Sie massiere?	massera
sv	Han har inte en hatt på sig.	de	Er hat keinen Hut auf.	hatt
sv	Jag beter mig inte som du.	de	Ich verhalte mich nicht wie du.	bete
sv	Jag kan inte finna min flickväns klitoris.	de	Ich kann die Klitoris meiner Freundin nicht finden.	flickvän
sv	Om man äter för mycket blir man tjock.	de	Wenn man zu viel isst, wird man dick.	tjock
sv	Dina drömmar kommer att gå i uppfyllelse.	de	Deine Träume werden in Erfüllung gehen.	uppfyllelse
sv	Kom så leker vi kurragömma!	de	Spielen wir Verstecken!	leka
sv	Vi ska segla till Danmark.	de	Wir segeln nach Dänemark.	segla
sv	Jag skulle vilja växla pengar.	de	Ich möchte Geld wechseln.	växla
sv	Ska vi på bio?	de	Gehen wir ins Kino?	bio
sv	Han har inte på sig hatt.	de	Er hat nicht seinen Hut auf.	hatt
sv	Han super för mycket.	de	Er säuft zu viel.	supa
sv	Jag brände mig på tungan.	de	Ich habe mir die Zunge verbrannt.	tunga
sv	Han har på sig glasögon.	de	Er trägt eine Brille.	glasögon
sv	Vi hade ingenstans att bo.	de	Wir hatten keinen Platz zum Leben.	ingenstans
sv	Jag vill ha glass.	de	Ich möchte ein Eis.	glass
sv	Han blev blek i ansiktet.	de	Sein Gesicht wurde bleich.	blek
sv	Det tjänar inget till att bråka med honom om det.	de	Es bringt nichts, mit ihm darüber zu streiten.	bråka
sv	Du kan använda mitt skrivbord om du vill.	de	Du kannst meinen Schreibtisch benutzen, wenn du willst.	skrivbord
sv	Jag måste göra min läxa.	de	Ich muss meine Hausaufgaben machen.	läxa
sv	Hur skulle jag kunna trösta dig?	de	Wie könnte ich dich trösten?	trösta
sv	Jag visste att du skulle bli upprörd.	de	Ich wusste, dass du dich aufregen würdest!	uppröra
sv	Jag ber om ursäkt om jag har sårat dig.	de	Ich bitte um Entschuldigung, wenn ich dich verletzt habe.	såra
sv	Det går mig på nerverna.	de	Es geht mir auf die Nerven.	nerv
sv	Får jag se ditt körkort?	de	Darf ich deinen Führerschein sehen?	körkort
sv	Jag har en ärta i min högra näsborre.	de	Ich habe eine Erbse in meinem rechten Nasenloch.	ärta
